m,start,end,n0,n1,add,rem,nt,si,se,tt,tt_usd,ta,ta_usd,ta_cov,sh0,partial
2018-12,2018-11-30,2018-12-31,35,34,0,1,0.02857142857142857,0.05304356152717604,0.05296446322646808,0.09455158462756831,37628495.88346813,,,,18587917.2837,
2019-01,2018-12-31,2019-01-31,34,33,2,3,0.14705882352941177,0.11674204453725467,0.10296080465834316,0.15805390743826386,77791593.71737048,,,,18299264.349600002,
2019-02,2019-01-31,2019-02-28,33,33,0,0,0.0,0.014083272190921672,0.014083272190921672,0.05743113746189323,25876008.3016368,,,,19976147.083300002,
2019-03,2019-02-28,2019-03-29,33,33,0,0,0.0,0.10016127770359226,0.10016127770359226,0.1245906290942008,46419500.276074246,,,,20003904.0,
2019-04,2019-03-29,2019-04-30,33,35,2,0,0.06060606060606061,0.15464467019757655,0.14531186216740424,0.19767168362844936,91181112.7388106,,,,21778118.5837,
2019-05,2019-04-30,2019-05-31,35,36,2,1,0.08571428571428572,0.06503695765087981,0.05623881578919907,0.0765726330923349,52730485.176328264,,,,22655968.549599998,
2019-06,2019-05-31,2019-06-28,36,36,1,1,0.05555555555555555,0.05937707936420393,0.04401132899679805,0.07842923997406467,46968114.36656061,,,,23466558.1167,
2019-07,2019-06-28,2019-07-31,36,39,3,0,0.08333333333333333,0.07726397939583271,0.06358741641185427,0.11694094423685053,76388815.38834253,,,,23678098.099600002,
2019-08,2019-07-31,2019-08-30,39,38,1,2,0.07692307692307693,0.14354190606009787,0.14131270325891188,0.14914912876644626,45263734.68032979,,,,24490234.683300003,
2019-09,2019-08-30,2019-09-30,38,37,0,1,0.02631578947368421,0.062460299633640026,0.05991013564919223,0.07961526933654893,24808732.888568606,,,,23312729.4496,
2019-10,2019-09-30,2019-10-31,37,37,0,0,0.0,0.10327513013528565,0.10327513013528565,0.11965670354363735,54565030.456816636,,,,23495787.3829,
2019-11,2019-10-31,2019-11-29,37,37,0,0,0.0,0.06729004461543805,0.06729004461543805,0.06944284120285447,31543772.057649836,,,,24509514.8833,
2019-12,2019-11-29,2019-12-31,37,36,0,1,0.02702702702702703,0.0910724961103784,0.08867576111684071,0.11005215630462992,63968809.96072864,,,,26008883.2333,
2020-01,2019-12-31,2020-01-31,36,36,1,1,0.05555555555555555,0.054043913132964194,0.04739810666610238,0.09805130330523777,61501831.98413745,,,,28161479.1504,
2020-02,2020-01-31,2020-02-28,36,36,0,0,0.0,0.15063835380749913,0.15063835380749913,0.1925184698570111,99883272.60387851,,,,29040678.8167,
2020-03,2020-02-28,2020-03-31,36,35,0,1,0.027777777777777776,0.1836780587175931,0.16972451278933717,0.22205236918758783,111156707.41203143,,,,32899710.3671,
2020-04,2020-03-31,2020-04-30,35,36,2,1,0.08571428571428572,0.19497113028633503,0.18951332365168985,0.21717989451380948,140278694.2415747,,,,36343745.1329,
2020-05,2020-04-30,2020-05-29,36,37,1,0,0.027777777777777776,0.20732140613859504,0.20517356064040576,0.2180291642925972,200721618.7562585,,,,43333191.3671,
2020-06,2020-05-29,2020-06-30,37,38,1,0,0.02702702702702703,0.14682192456374987,0.1463866255131896,0.195035476266532,237090616.4479865,,,,51771305.2004,
2020-07,2020-06-30,2020-07-31,38,40,3,1,0.10526315789473684,0.1647347753929691,0.15793909203257997,0.18424984557872268,317294643.8616192,,,,58446830.533700004,
2020-08,2020-07-31,2020-08-31,40,43,3,0,0.075,0.20872675307370864,0.1850585616168518,0.26161689776949126,489182212.16165483,,,,68031138.03330001,
2020-09,2020-08-31,2020-09-30,43,42,1,2,0.06976744186046512,0.140141272354226,0.1334884851969045,0.23150788167502187,408507548.405745,,,,79528381.5829,
2020-10,2020-09-30,2020-10-30,42,46,6,2,0.19047619047619047,0.15593115059415824,0.1396794971318319,0.1769949489602283,658864082.0403361,,,,88793386.9996,
2020-11,2020-10-30,2020-11-30,46,46,1,1,0.043478260869565216,0.1331426367399536,0.1285349763021338,0.1359578918938388,657692569.950083,,,,101341435.9996,
2020-12,2020-11-30,2020-12-31,46,50,5,1,0.13043478260869565,0.4805400432198708,0.40776008958908583,0.50026649435534,3357178067.107356,,,,112801637.9996,
2021-01,2020-12-31,2021-01-29,50,53,3,0,0.06,0.26424785702683407,0.2437142243822839,0.28723778456454435,3352643411.264761,,,,165373466.0,
2021-02,2021-01-29,2021-02-26,53,56,3,0,0.05660377358490566,0.12555900083646088,0.09808600217214714,0.18149110081199468,2452291136.522594,,,,201362402.0004,
2021-03,2021-02-26,2021-03-31,56,55,1,2,0.05357142857142857,0.14658872122089556,0.13736884303155678,0.20212113602123694,2205747838.0172143,,,,211924838.00160003,
2021-04,2021-03-31,2021-04-30,55,59,4,0,0.07272727272727272,0.06398096272113912,0.05141400578572795,0.08447139834988156,789055745.2556791,,,,201578632.99920002,
2021-05,2021-04-30,2021-05-28,59,59,2,2,0.06779661016949153,0.149524959558346,0.14455508597092653,0.1913614152492089,1693572592.6386266,,,,203814230.0009,
2021-06,2021-05-28,2021-06-30,59,59,2,2,0.06779661016949153,0.08572131277576106,0.07304453836636594,0.12460093038770348,1039807152.8000001,,,,196107170.5,
2021-07,2021-06-30,2021-07-30,59,59,1,1,0.03389830508474576,0.12821857527423666,0.1186021094031501,0.16034237894746312,1280610834.4400191,,,,204596294.6,
2021-08,2021-07-30,2021-08-31,59,62,3,0,0.05084745762711865,0.15865264302141063,0.14250514534303557,0.18904426254243095,1472465603.5600407,,,,204394341.2,
2021-09,2021-08-31,2021-09-30,62,56,1,7,0.12903225806451613,0.10601552020410383,0.08919151571168848,0.13629062603940864,1007600544.5699999,,,,208768201.65,
2021-10,2021-09-30,2021-10-28,56,52,0,4,0.07142857142857142,0.11001154615775613,0.0662448397740744,0.3020624473097678,1611216869.6137974,,,,205162492.14999998,
2021-11,2021-10-28,2021-11-30,52,52,2,2,0.07692307692307693,0.13780708245865417,0.12001995431659875,0.1838627572538597,1362557427.5500374,,,,202792991.125,
2021-12,2021-11-30,2021-12-31,52,52,1,1,0.038461538461538464,0.07565264217975792,0.06715572126927655,0.1719459897118802,925729150.35,,,,188949777.075,
2022-01,2021-12-31,2022-01-31,52,52,0,0,0.0,0.09235548892941711,0.09235548892941711,0.23756592842380062,977671468.1543313,,,,179079199.75,
2022-02,2022-01-31,2022-02-28,52,51,1,2,0.057692307692307696,0.07197164840158372,0.05897318579447276,0.13825882415578508,450246948.53999996,,,,173649489.8,
2022-03,2022-02-28,2022-03-31,51,48,0,3,0.058823529411764705,0.07217764403514527,0.04600716867408551,0.18973898120162133,611121266.4200001,,,,168688203.775,
2022-04,2022-03-31,2022-04-29,48,48,0,0,0.0,0.04918874186368971,0.04918874186368971,0.10224538752356192,350100831.0850664,,,,167721932.64999998,
2022-05,2022-04-29,2022-05-31,48,47,0,1,0.020833333333333332,0.05848796468810028,0.05848175551318358,0.1591208480046368,391041276.0300963,,,,163460794.89999998,
2022-06,2022-05-31,2022-06-30,47,47,1,1,0.0425531914893617,0.07085255330790335,0.06984542993671938,0.1259061820426226,291687176.8188935,,,,166363882.1,
2022-07,2022-06-30,2022-07-29,47,47,1,1,0.0425531914893617,0.1165244757245508,0.11330505604660773,0.21693989365538663,531199818.6227209,,,,160970019.675,
2022-08,2022-07-29,2022-08-31,47,48,1,0,0.02127659574468085,0.08843114079169269,0.08676758569265292,0.16614280139900328,466604454.97258484,,,,170802878.825,
2022-09,2022-08-31,2022-09-30,48,47,1,2,0.0625,0.07108318714938104,0.06605790750796733,0.13876721325834754,442797884.44635266,,,,169668447.05,
2022-10,2022-09-30,2022-10-31,47,47,1,1,0.0425531914893617,0.11227798218833139,0.06258186994454058,0.17714360912934765,377125398.2465489,,,,166439350.225,
2022-11,2022-10-31,2022-11-30,47,47,0,0,0.0,0.03567969281614671,0.03567969281614671,0.12841674736299824,298217310.74210197,,,,154383179.625,
2022-12,2022-11-30,2022-12-30,47,46,0,1,0.02127659574468085,0.048275078995112734,0.04813253358558228,0.11006262912831145,233885401.12378162,,,,157011438.05,
2023-01,2022-12-30,2023-01-31,46,45,0,1,0.021739130434782608,0.11348457030873528,0.09445883030057156,0.17048004301949543,270015707.39292806,,,,150061778.47500002,
2023-02,2023-01-31,2023-02-28,45,45,0,0,0.0,0.03424246818607143,0.03424246818607143,0.11442618340661795,245311613.05130738,,,,150889359.725,
2023-03,2023-02-28,2023-03-31,45,44,0,1,0.022222222222222223,0.04125949927928129,0.0412588404066407,0.11597784255622658,190012263.28206298,,,,149877735.625,
2023-04,2023-03-31,2023-04-28,44,43,0,1,0.022727272727272728,0.04679077466444204,0.046787386012071504,0.13250723959143065,216781789.52591974,,,,149086607.35000002,
2023-05,2023-04-28,2023-05-31,43,43,0,0,0.0,0.029466442189948146,0.029466442189948146,0.12046674852730091,255421802.07147753,,,,154290685.0,
2023-06,2023-05-31,2023-06-30,43,43,0,0,0.0,0.05572028840097585,0.05572028840097585,0.11552650187537827,186323732.8913408,,,,157792926.55,
2023-07,2023-06-30,2023-07-31,43,43,0,0,0.0,0.05981962465090688,0.05981962465090688,0.09251924761994404,185577815.0986428,,,,153646857.175,
2023-08,2023-07-31,2023-08-31,43,41,0,2,0.046511627906976744,0.06374428812555559,0.06310456243944067,0.1348609895444162,230513816.70940435,,,,157256498.5,
2023-09,2023-08-31,2023-09-29,41,39,0,2,0.04878048780487805,0.025396182376994307,0.02534883857747159,0.06450662360827752,138073351.80463094,,,,153267755.65,
2023-10,2023-09-29,2023-10-31,39,39,0,0,0.0,0.026683981932224547,0.026683981932224547,0.06478406053032339,137654701.76928386,,,,151990603.775,
2023-11,2023-10-31,2023-11-30,39,39,0,0,0.0,0.04256956072681772,0.04256956072681772,0.09089303636547351,159804436.29260272,,,,152131529.3,
2023-12,2023-11-30,2023-12-29,39,39,0,0,0.0,0.07238613236339159,0.07238613236339159,0.1742784914173318,362428104.3849769,,,,157499329.675,
2024-01,2023-12-29,2024-01-31,39,41,3,1,0.10256410256410256,0.2854000713680772,0.12789541966555984,0.3292438092212499,419164248.99206036,,,,167932225.0,
2024-02,2024-01-31,2024-02-29,41,41,1,1,0.04878048780487805,0.10413395856569464,0.0491293285342602,0.20787918207182382,308395746.52454215,,,,148857618.0,
2024-03,2024-02-29,2024-03-28,41,40,0,1,0.024390243902439025,0.06928462511947898,0.06850410644814672,0.10515505772035733,190399132.95831704,,,,144209539.025,
2024-04,2024-03-28,2024-04-30,40,39,0,1,0.025,0.029874498349541548,0.02981916220100673,0.09046172969175419,142480110.12297717,,,,139628803.175,
2024-05,2024-04-30,2024-05-31,39,39,0,0,0.0,0.037189914182865616,0.037189914182865616,0.13057588596151434,228877583.05821285,,,,143123559.625,
2024-06,2024-05-31,2024-06-28,39,40,1,0,0.02564102564102564,0.05156256824747877,0.04789252908012351,0.12008099059431859,192450200.79763454,,,,140986778.725,
2024-07,2024-06-28,2024-07-31,40,40,0,0,0.0,0.03639582304907176,0.03639582304907176,0.12605867731948706,198468752.78621268,,,,140355594.325,
2024-08,2024-07-31,2024-08-30,40,37,0,3,0.075,0.12856963490163267,0.11706179661795911,0.20356204550126383,320913942.0404956,,,,140000684.95,
2024-09,2024-08-30,2024-09-30,37,36,0,1,0.02702702702702703,0.035829145351667015,0.035826966540964164,0.22380683528907072,296631575.95056385,,,,130101652.0,
2024-10,2024-09-30,2024-10-31,36,37,1,0,0.027777777777777776,0.042516607034384646,0.04228447515537997,0.14601497562516014,183998045.2367199,,,,130972963.0,
2024-11,2024-10-31,2024-11-29,37,36,0,1,0.02702702702702703,0.0812737564234427,0.07958141370443551,0.18328439637585947,250559874.0990287,,,,131816191.0,
2024-12,2024-11-29,2024-12-31,36,35,0,1,0.027777777777777776,0.09468380583128204,0.09370681279496842,0.366228235315583,432411183.18104076,,,,122330972.0,
2025-01,2024-12-31,2025-01-31,35,35,0,0,0.0,0.049672727712451244,0.049672727712451244,0.24706583327547998,273541021.89030504,,,,111805678.0,
2025-02,2025-01-31,2025-02-28,35,35,0,0,0.0,0.09259913664270275,0.09259913664270275,0.23844180877783797,301908262.40533316,,,,110450911.0,
2025-03,2025-02-28,2025-03-31,35,33,0,2,0.05714285714285714,0.06305932208533667,0.06237491849620108,0.3312067383475088,363437988.89548516,,,,113678910.0,
2025-04,2025-03-31,2025-04-30,33,32,0,1,0.030303030303030304,0.0625510726085303,0.05268495049934534,0.20850189032706754,188459505.03824452,,,,108207465.0,
2025-05,2025-04-30,2025-05-30,32,32,0,0,0.0,0.05624390541169607,0.05624390541169607,0.18375871998704124,184425042.0501272,0.012316054577383677,18316686.430074472,1.0,102232090.0,
2025-06,2025-05-30,2025-06-30,32,33,1,0,0.03125,0.02518864681881817,0.024716064597686677,0.28794242368805345,288267784.7318131,0.006344160141643124,11107577.560000002,0.9201467653768907,97003226.0,
