date,fund,company,ticker,cusip,weight,shares_held,market_value
2020-10-08,ARKF,PYPL US Equity,PYPL,70450Y103,3.1646,124884,24110105.04
2020-10-08,ARKF,4689 JP Equity,4689,,3.0734,3266012,23415585.3
2020-10-08,ARKF,3690 HK Equity,3690,,2.9895,661615,22776336.05
2020-10-08,ARKF,AMZN US Equity,AMZN,023135106,2.771,132340,21111869.35
2020-10-08,ARKF,TWLO US Equity,TWLO,90138F102,2.6745,68127,20376785.7
2020-10-08,ARKF,AAPL US Equity,AAPL,037833100,2.6609,176333,20273005.01
2020-10-08,ARKF,META US Equity,META,30303M102,2.3298,67298,17750520.48
2020-10-08,ARKF,6060 HK Equity,6060,,2.1721,3190485,16549140.91
2020-10-08,ARKF,SPLK US Equity,SPLK,848637104,2.1374,77899,16284785.95
2020-10-08,ARKF,SNAP US Equity,SNAP,83304A106,1.9104,538067,14554712.35
2020-10-08,ARKF,DOCU US Equity,DOCU,256163106,1.7887,61835,13627815.65
2020-10-08,ARKF,WDAY US Equity,WDAY,98138H101,1.5073,51259,11484066.36
2020-10-08,ARKF,WORK US Equity,WORK,83088V102,1.4854,377358,11316966.42
2020-10-08,ARKF,LSPD CN Equity,LSPD,53229C107,1.4473,308996,11027044.59
2020-10-08,ARKF,TSM US Equity,TSM,874039100,1.3236,114858,10084532.4
2020-10-08,ARKF,CRM US Equity,CRM,79466L302,1.3075,38281,9961481.82
2020-10-08,ARKF,8473 JP Equity,8473,,1.2724,384874,9694010.47
2020-10-08,ARKF,LC US Equity,LC,52603A208,1.2488,1768416,9514078.08
2020-10-08,ARKF,INTU US Equity,INTU,461202103,1.215,27633,9256778.67
2020-10-08,ARKF,GWRE US Equity,GWRE,40171V100,1.2024,80159,9160570.52
2020-10-08,ARKF,IBKR US Equity,IBKR,45841N107,1.1534,683456,8787535.52
2020-10-08,ARKF,NVDA US Equity,NVDA,67066G104,1.1427,629120,8706234.4
2020-10-08,ARKF,SCHW US Equity,SCHW,808513105,1.0933,220716,8329821.84
2020-10-08,ARKF,DSY SJ Equity,DSY,,1.0901,1052558,8305610.65
2020-10-08,ARKF,HDB US Equity,HDB,40415F101,1.0726,297970,8171827.25
2020-10-08,ARKF,TRU US Equity,TRU,89400J107,1.0092,86843,7689079.22
2020-10-08,ARKF,ZS US Equity,ZS,98980G102,1.007,51957,7671970.62
2020-10-08,ARKF,9923 HK Equity,9923,,0.985,1163200,7504419.3
2020-10-08,ARKF,JD US Equity,JD,47215P106,0.9225,89936,7028498.4
2020-10-08,ARKF,VRSK US Equity,VRSK,92345Y106,0.8531,35154,6499974.6
2020-10-08,ARKF,PDD US Equity,PDD,722304102,0.8106,84126,6175689.66
2020-10-08,ARKF,MKTX US Equity,MKTX,57060D108,0.5189,7626,3953470.92
2020-10-08,ARKF,SICPQ US Equity,SICPQ,82837P408,0.4749,229712,3617964
2020-10-08,ARKF,OPEN US Equity,OPEN,683712103,0.3313,134400,2524032
2020-10-08,ARKF,MVRXX US Equity,MVRXX,61747C707,0.1868,1422935.66,1422935.66
2020-10-08,ARKF,ZAR Curncy,ZAR,,0,1.15,0.07
2020-10-08,ARKF,USD Curncy,USD,,0,-264432.19,0
2020-10-09,ARKF,XYZ US Equity,XYZ,852234103,12.1519,513316,96133820.48
2020-10-09,ARKF,MELI US Equity,MELI,58733R102,4.7184,31110,37327022.4
2020-10-09,ARKF,SE US Equity,SE,81141R100,4.1982,192957,33211758.84
2020-10-09,ARKF,PINS US Equity,PINS,72352L106,4.1608,758602,32915740.78
2020-10-09,ARKF,TREE US Equity,TREE,52603B107,3.8728,93829,30637983.37
2020-10-09,ARKF,ADYEN NA Equity,ADYEN,,3.8281,15034,30284175.86
2020-10-09,ARKF,Z US Equity,Z,98954M200,3.8273,290410,30278146.6
2020-10-09,ARKF,TCEHY US Equity,TCEHY,88032Q109,3.8051,424337,30102466.78
2020-10-09,ARKF,ICE US Equity,ICE,45866F104,3.558,277612,28147080.68
2020-10-09,ARKF,BABA US Equity,BABA,01609W102,3.4822,91905,27547604.7
2020-10-09,ARKF,PYPL US Equity,PYPL,70450Y103,3.1909,127962,25243063.74
2020-10-09,ARKF,4689 JP Equity,4689,,3.072,3346112,24302522.65
2020-10-09,ARKF,3690 HK Equity,3690,,2.985,677815,23614200
2020-10-09,ARKF,AMZN US Equity,AMZN,023135106,2.8164,135580,22280200.35
2020-10-09,ARKF,TWLO US Equity,TWLO,90138F102,2.702,69801,21375858.24
2020-10-09,ARKF,AAPL US Equity,AAPL,037833100,2.6714,180671,21133086.87
2020-10-09,ARKF,META US Equity,META,30303M102,2.305,68954,18234885.3
2020-10-09,ARKF,SPLK US Equity,SPLK,848637104,2.1433,79816,16955312.88
2020-10-09,ARKF,6060 HK Equity,6060,,2.1406,3268785,16934415.19
2020-10-09,ARKF,SNAP US Equity,SNAP,83304A106,1.8816,551306,14885262
2020-10-09,ARKF,DOCU US Equity,DOCU,256163106,1.8067,63356,14293113.6
2020-10-09,ARKF,WORK US Equity,WORK,83088V102,1.5151,386646,11986026
2020-10-09,ARKF,WDAY US Equity,WDAY,98138H101,1.4986,52519,11855113.87
2020-10-09,ARKF,LSPD CN Equity,LSPD,53229C107,1.4841,316196,11740844.69
2020-10-09,ARKF,TSM US Equity,TSM,874039100,1.3207,117684,10447985.52
2020-10-09,ARKF,CRM US Equity,CRM,79466L302,1.3188,39226,10433331.48
2020-10-09,ARKF,8473 JP Equity,8473,,1.2499,394774,9887573.79
2020-10-09,ARKF,INTU US Equity,INTU,461202103,1.2235,28317,9679033.77
2020-10-09,ARKF,LC US Equity,LC,52603A208,1.2093,1811922,9566948.16
