date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-06-25,PRNT,KAISER ALUMINUM CORP,KALU,483007704,2.11,7530,1316771.10
2026-06-25,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,1.96,251718,1223209.82
2026-06-25,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,1.80,4193,1127539.63
2026-06-25,PRNT,MICHELIN (CGDE),ML,BPBPJ01,1.77,29054,1107349.97
2026-06-25,PRNT,AMETEK INC,AME,031100100,1.58,4186,985300.68
2026-06-25,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,1.45,3148,904325.96
2026-06-25,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,1.44,5264,899617.60
2026-06-25,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,1.17,88975,731744.08
2026-06-25,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.51,316252,316252.37
2026-06-25,PRNT,OCTAVE INTELLIGENCE PLC-SDR,,BN72QH8,0.23,8897,142007.54
2026-06-25,PRNT,MATERION CORP,MTRN,576690101,0.20,455,122677.10
2026-06-25,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,0.17,178,103409.10
2026-06-25,PRNT,ATI INC,ATI,01741R102,0.15,487,96226.33
2026-06-25,PRNT,JABIL INC,JBL,466313103,0.15,245,91091.00
2026-06-25,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,0.13,959,79220.75
2026-06-25,PRNT,SGL CARBON SE,SGL,4818351,0.13,15730,82776.31
2026-06-25,PRNT,3M CO,MMM,88579Y101,0.12,470,77977.70
2026-06-25,PRNT,AVIENT CORP,AVNT,05368V106,0.12,2015,74192.30
2026-06-25,PRNT,SANDVIK AB,SAND,B1VQ252,0.12,1891,74857.18
2026-06-25,PRNT,TORAY INDUSTRIES INC,3402,6897143,0.12,10290,72932.27
2026-06-25,PRNT,VOESTALPINE AG,VOE,4943402,0.12,1539,75657.88
2026-06-25,PRNT,ARKEMA,AKE,B0Z5YZ2,0.11,1049,68540.69
2026-06-25,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,0.11,3736,68248.10
2026-06-25,PRNT,KENNAMETAL INC,KMT,489170100,0.11,1979,68176.55
2026-06-25,PRNT,DAUCH CORPORATION,DCH,024061103,0.06,6386,35570.02
