date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-06-16,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.64,113,126233.43
2026-06-16,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.76,148,52470.44
2026-06-16,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-16,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.86,-230,-111283.20
2026-06-17,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.00,22953,1815123.24
2026-06-17,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.63,113,125417.57
2026-06-17,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.68,148,50645.60
2026-06-17,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-17,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.59,-230,-105698.80
2026-06-18,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,95.55,22953,1801580.97
2026-06-18,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.96,113,131137.63
2026-06-18,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.47,148,46526.76
2026-06-18,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.28,5229,5229.09
2026-06-18,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.25,-230,-99010.40
2026-06-22,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,96.70,22953,1840601.07
2026-06-22,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.10,113,116115.41
2026-06-22,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.70,148,51404.84
2026-06-22,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.27,5229,5229.09
2026-06-22,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.77,-230,-109875.60
2026-06-23,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,95.81,22953,1800203.79
2026-06-23,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.69,113,125706.85
